S No,,fuel type,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total
1,2010,CNG ONLY,0,0,0,0,1,"8,451",0,5,0,"3,002","7,166",778,"4,416",112,0,0,0,"23,931"
2,2010,DIESEL,0,2,0,0,0,0,0,143,0,106,663,"21,067","3,373",419,0,0,0,"25,773"
3,2010,DIESEL/HYBRID,0,,,,,,,,,,,,,,,,,
4,2010,ELECTRIC(BOV),0,580,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,614
5,2010,PETROL,0,"2,90,725",0,0,1,0,4,0,0,0,55,"78,327",231,0,0,0,0,"3,69,343"
6,2010,PETROL/CNG,0,7,0,0,3,2,0,0,0,0,39,"33,195","1,953",0,0,0,0,"35,199"
7,2010,PETROL/ETHANOL,0,,,,,,,,,,,,,,,,,
8,2010,PETROL/HYBRID,,,,,,,,,,,,,,,,,,
9,2010,PURE EV,,,,,,,,,,,,,,,,,,
10,2010,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
11,2010,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
12,2011,CNG ONLY,0,0,0,0,0,"6,910",0,15,0,779,"6,860",721,"4,650",79,0,0,0,"20,014"
13,2011,DIESEL,0,1,0,0,0,0,0,288,0,150,"2,396","29,108","4,503",558,0,0,0,"37,004"
14,2011,DIESEL/HYBRID,,,,,,,,,,,,,,,,,,
15,2011,ELECTRIC(BOV),0,703,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,741
16,2011,PETROL,0,"3,03,980",0,0,2,0,1,0,0,0,73,"77,246",185,0,0,0,0,"3,81,487"
17,2011,PETROL/CNG,0,4,0,0,4,14,0,0,0,0,"1,224","39,773","1,857",0,0,0,0,"42,876"
18,2011,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
19,2011,PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
20,2011,PURE EV,,,,,,,,,,,,,,,,,,
21,2011,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
22,2011,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
23,2012,CNG ONLY,0,0,0,0,2,"5,570",0,34,0,589,"5,391",701,"2,450",28,0,0,0,"14,765"
24,2012,DIESEL,0,14,0,0,0,0,0,538,0,141,"2,203","35,117","4,575",319,0,0,0,"42,907"
25,2012,DIESEL/HYBRID,,,,,,,,,,,,,,,,,,
26,2012,ELECTRIC(BOV),0,352,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,369
27,2012,PETROL,0,"3,11,916",0,0,0,0,3,0,0,0,147,"65,838",104,0,0,0,0,"3,78,008"
28,2012,PETROL/CNG,0,6,0,0,3,"10,001",1,0,0,0,"1,301","37,511",419,0,0,0,0,"49,242"
29,2012,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
30,2012,PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2012,PURE EV,,,,,,,,,,,,,,,,,,
32,2012,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
33,2012,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
34,2013,CNG ONLY,0,0,0,0,1,"2,811",0,12,0,880,"5,540",210,412,71,0,0,0,"9,937"
