Year,Domestic(MU),Commercial(MU),Industrial(MU),PWW & Street Lighting(MU),Others(MU),Total(MU),,,,,,December,Yearly Peak Load
2011,"10,396","6,253",2989,748,"1,314",,,,,,,3471,4819
2012,"10,796","5,569","2,989",870,"1,147","21,361",,,,,,3619,5028
2013,"11,609","6,786","3,064",838,"1,484","23,781",,,,,,3643,5642
2014,"12,386","6,814","3,068","1,007","1,202","24,477",,,,,,3775,5653
2015,"12,560","6,053","3,135","1,027","1,262","24,037",,,,,,4721,5925
2016,"14,060","7,257","3,088","1,098","1,362","26,865",,,,,,4517,5846
2017,"14,627","6,550","3,243","1,042","1,368","26,830",,,,,,3857,6261
2018,"15,541","6,942","4,271","2,389",425,"29,568",,,,,,4008,6526
2019,"16,253","7,606","3,597","2,185",625,"30,266",,,,,,4417,7016
2020,"16,360","5,314","2,819","1,106",666,"26,264",,,,,,5245,7409
2021,"16,330","5,920","3,127",944,"1,099","27,420",,,,,,5245,6314
2022,"17,779","6,970","3,104",971,"1,229","30,054",,,,,,4685,7323
,,,,,,,,,,,,4965,7695
,,,,,,,,,,,,4884,7437
,,,,,,,,,,,,4900,8656
,,,,,,,,,,,,,
,,,,,,,,,,,,6124.625421,7372.904654
