Year,January,Febrary,March,April,May,June,July,August,September,October,November,December,Yearly Peak Load
2010,3678,3196,3411,4000,4581,4668,4819,4424,4057,3683,3231,3471,4819
2011,4111,3306,3412,4066,4823,4994,4733,5028,4713,3919,3294,3619,5028
2012,3934,3608,3316,3779,5155,5389,5642,4652,4621,3995,3234,3643,5642
2013,4214,3590,3226,4190,5315,5653,5384,4988,4803,4306,3576,3775,5653
2014,4000,3670,3444,4418,5468,5533,5925,5507,4882,4570,3408,4721,5925
2015,4405,3847,3589,4517,5358,5846,5743,5434,5457,4481,4517,4517,5846
2016,4125,3845,3618,4797,6188,6100,6261,5707,5301,4797,3510,3857,6261
2017,4168,3882,4141,5685,6021,6526,6121,6129,5661,4723,3695,4008,6526
2018,4464,3946,3766,5200,6452,6934,7016,5937,5358,4713,3788,4417,7016
2019,4472,4386,4016,5664,6461,6904,7409,6473,6626,4605,3161,5245,7409
2020,5226,4447,3775,3362,5464,6314,6310,5737,6231,4820,3769,5245,6314
2021,5021,4486,3709,4372,4959,6921,7323,6550,5548,5391,3831,4685,7323
2022,5104,5024,4648,6197,6197,6197,7695,6446,6687,4990,3941,4965,7695
2023,5623,4667,3979,5422,6916,7226,7398,7437,6993,5583,4320,4884,7437
2024,5816,5406,4482,5447,8302,8656,8032,6890,6780,6161,4259,4900,8656
